Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Orthosia opima,Noctuidae,0,x 1980,Opima-Kätzcheneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Coranarta cordigera,Noctuidae,0,x 1956,Moor-Bunteule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lacanobia aliena,Noctuidae,0,x vor 1900,Trockenrasen-Kräutereule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Papestra biren,Noctuidae,0,x 1959,Moorwald-Blättereule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hadena confusa,Noctuidae,0,x 1940,Marmorierte Nelkeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hadena irregularis,Noctuidae,0,x vor 1900,Gipskraut-Nelkeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Actebia praecox,Noctuidae,0,x 1978,Grünliche Erdeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Euxoa cursoria,Noctuidae,0,x vor 1900,Veränderliche Dünen-Erdeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Euxoa aquilina,Noctuidae,0,x 1977,Getreideeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Agrotis cinerea,Noctuidae,0,x 1974,Aschgraue Erdeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Diarsia dahlii,Noctuidae,0,x vor 1900,Moorwiesen-Erdeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Violaphotia molothina,Noctuidae,0,x vor 1900,Graue Heidekrauteule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Opigena polygona,Noctuidae,0,x 1991,Vielwinkel-Bodeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Xestia stigmatica,Noctuidae,0,x vor 1900,Rhombus-Bodeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Xestia castanea,Noctuidae,0,x vor 1900,Ginsterheiden-Bodeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Xestia ashworthii,Noctuidae,0,x vor 1900,Aschgraue Bodeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eugraphe sigma,Noctuidae,0,x vor 1900,Sigma-Bodeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Protolampra sobrina,Noctuidae,0,x vor 1900,Heidemoor-Bodeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
